spectrum_path,valid_fraction
DeMeo2009data_gp/a003402.sp25.txt,0.9800
DeMeo2009data_gp/a004688.sp03.txt,0.9800
DeMeo2009data_gp/a005230.sp44.txt,0.9800
DeMeo2009data_gp/a005407.sp09.txt,0.9800
DeMeo2009data_gp/a005604.sp05.txt,0.9800
DeMeo2009data_gp/a006411.sp28.txt,0.9800
DeMeo2009data_gp/a008444.sp25.txt,0.9800
DeMeo2009data_gp/a053435.sp55.txt,0.9800
DeMeo2009data_gp/au2001TX16.sp11.txt,0.9800
Binzel2019data_gp/a004587.visnir.txt,0.9800
Binzel2019data_gp/a142040.visnir.txt,0.9800
Binzel2019data_gp/a159402.visnir.txt,0.9800
Binzel2019data_gp/a285263.visnir.txt,0.9800
Binzel2019data_gp/a401857.visnir.txt,0.9800
DeMeo2009data_gp/a000032.sp03.txt,0.9825
DeMeo2009data_gp/a001143.sp42.txt,0.9825
DeMeo2009data_gp/a002074.sp25.txt,0.9825
DeMeo2009data_gp/a002099.sp45.txt,0.9825
DeMeo2009data_gp/a002107.sp49.txt,0.9825
DeMeo2009data_gp/a003102.sp02.txt,0.9825
DeMeo2009data_gp/a003155.sp06.txt,0.9825
DeMeo2009data_gp/a004055.sp38.txt,0.9825
DeMeo2009data_gp/a006239.sp27.txt,0.9825
DeMeo2009data_gp/a025330.sp19.txt,0.9825
DeMeo2009data_gp/a099907.sp19.txt,0.9825
Binzel2019data_gp/a001566.visnir.txt,0.9825
Binzel2019data_gp/a007753.visnir.txt,0.9825
Binzel2019data_gp/a310442.visnir.txt,0.9825
DeMeo2009data_gp/a000027.sp31.txt,0.9850
DeMeo2009data_gp/a000264.sp41.txt,0.9850
DeMeo2009data_gp/a001204.sp37.txt,0.9850
DeMeo2009data_gp/a001660.sp37.txt,0.9850
DeMeo2009data_gp/a002335.sp46.txt,0.9850
DeMeo2009data_gp/a003200.sp34.txt,0.9850
DeMeo2009data_gp/a003395.sp04.txt,0.9850
DeMeo2009data_gp/a003858.sp28.txt,0.9850
DeMeo2009data_gp/a004570.sp06.txt,0.9850
DeMeo2009data_gp/a005143.sp55.txt,0.9850
DeMeo2009data_gp/a006585.sp55.txt,0.9850
DeMeo2009data_gp/a098943.sp33.txt,0.9850
DeMeo2009data_gp/a137062.sp19.txt,0.9850
Binzel2019data_gp/a001627.visnir.txt,0.9850
Binzel2019data_gp/a007304.visnir.txt,0.9850
Binzel2019data_gp/a053319.visnir.txt,0.9850
Binzel2019data_gp/a154347.visnir.txt,0.9850
Binzel2019data_gp/a416186.visnir.txt,0.9850
Binzel2019data_gp/a451157.visnir.txt,0.9850
DeMeo2009data_gp/a000018.sp06.txt,0.9875
DeMeo2009data_gp/a000063.sp25.txt,0.9875
DeMeo2009data_gp/a000067.sp29.txt,0.9875
DeMeo2009data_gp/a000279.sp35.txt,0.9875
DeMeo2009data_gp/a000570.sp28.txt,0.9875
DeMeo2009data_gp/a000808.sp07.txt,0.9875
DeMeo2009data_gp/a001065.sp37.txt,0.9875
DeMeo2009data_gp/a001139.sp44.txt,0.9875
DeMeo2009data_gp/a001350.sp06.txt,0.9875
DeMeo2009data_gp/a001642.sp07.txt,0.9875
DeMeo2009data_gp/a002732.sp07.txt,0.9875
DeMeo2009data_gp/a004038.sp19.txt,0.9875
DeMeo2009data_gp/a005641.sp38.txt,0.9875
Binzel2019data_gp/a004954.visnir.txt,0.9875
Binzel2019data_gp/a018882.visnir.txt,0.9875
Binzel2019data_gp/a021088.visnir.txt,0.9875
Binzel2019data_gp/a506459.visnir.txt,0.9875
DeMeo2009data_gp/a000001.sp41.txt,0.9900
DeMeo2009data_gp/a000025.sp03.txt,0.9900
DeMeo2009data_gp/a000056.sp31.txt,0.9900
DeMeo2009data_gp/a000057.sp14.txt,0.9900
DeMeo2009data_gp/a000153.sp40.txt,0.9900
DeMeo2009data_gp/a000180.sp18.txt,0.9900
DeMeo2009data_gp/a000205.sp24.txt,0.9900
DeMeo2009data_gp/a000210.sp47.txt,0.9900
DeMeo2009data_gp/a000221.sp02.txt,0.9900
DeMeo2009data_gp/a000244.sp05.txt,0.9900
